Image_ID,Timestamp,Genotype_ID,Plant_ID,Crop_Type,Region,Soil_Type,Soil_Moisture,Temperature,Humidity,Light_Intensity,Fertilizer_Used,Irrigation_Level,Leaf_Area,Stem_Thickness,Plant_Height,Leaf_Color_Index,Disease_Signs,Weed_Presence,Growth_Stage,Health_Score,Genotype_Performance_Score,Recommended_Action,Yield_Potential
IMG_001239,2021-02-13,G016,P001239,Wheat,West,Loamy,18.36,18.4,50.7,41465.8,Compost,7.6,90.9,2.57,89.8,4.7,No,Yes,Vegetative,73.7,64.0,Weed control,3.27
IMG_001240,2021-08-30,G001,P001240,Wheat,North,Clay,27.92,29.9,46.9,16660.2,NPK,8.3,91.2,2.41,51.3,4.2,No,No,Fruiting,89.6,51.8,Apply pesticide,7.17
IMG_001241,2021-05-04,G017,P001241,Rice,West,Sandy,28.14,30.1,43.7,34294.3,None,10.7,158.3,1.47,36.8,2.1,No,No,Vegetative,65.8,61.0,No action,7.73
IMG_001242,2021-05-14,G004,P001242,Wheat,West,Clay,28.27,19.3,72.4,31821.2,Urea,7.5,55.7,1.28,45.0,4.8,No,No,Flowering,87.5,41.0,Increase irrigation,5.9
IMG_001243,2021-11-18,G012,P001243,Rice,North,Clay,27.67,24.7,60.9,34890.8,Urea,10.8,75.4,1.79,36.1,3.4,No,Yes,Fruiting,76.7,77.4,Weed control,8.11
IMG_001244,2021-01-28,G020,P001244,Soybean,Central,Silty,20.79,30.7,70.2,20876.5,Urea,10.1,60.0,1.88,91.6,3.3,No,Yes,Vegetative,90.2,48.5,Apply pesticide,6.12
IMG_001245,2021-05-13,G010,P001245,Soybean,South,Clay,28.92,31.8,79.3,35970.1,Compost,8.6,134.2,2.43,65.2,3.4,No,No,Maturity,85.0,70.0,Weed control,3.9
IMG_001246,2021-07-07,G011,P001246,Wheat,South,Sandy,21.66,26.0,57.1,39233.2,DAP,11.6,75.2,1.91,98.6,4.2,Yes,No,Germination,78.4,80.1,No action,3.64
IMG_001247,2021-05-23,G016,P001247,Wheat,West,Loamy,30.28,19.5,57.8,30884.2,DAP,6.8,97.9,1.32,102.7,4.6,No,No,Vegetative,72.5,42.0,Add fertilizer,4.95
IMG_001248,2021-09-24,G020,P001248,Rice,Central,Sandy,22.68,22.7,52.2,32190.2,NPK,6.5,152.4,1.12,95.6,4.6,No,No,Vegetative,83.6,55.6,Increase irrigation,8.82
IMG_001249,2021-01-15,G014,P001249,Rice,South,Loamy,21.33,30.9,71.3,24256.2,Compost,7.4,57.7,1.08,114.5,2.9,No,No,Vegetative,68.8,60.3,Increase irrigation,4.81
IMG_001250,2021-02-24,G020,P001250,Soybean,North,Sandy,19.38,18.3,62.6,43401.4,Urea,10.1,52.2,2.69,52.2,3.1,No,No,Fruiting,71.8,54.3,Increase irrigation,8.46
IMG_001251,2021-07-07,G001,P001251,Soybean,Central,Loamy,26.56,31.1,79.2,38815.9,NPK,6.4,167.7,2.17,60.7,3.0,No,No,Vegetative,66.3,48.3,Add fertilizer,5.88
IMG_001252,2021-08-29,G016,P001252,Soybean,Central,Silty,22.41,25.1,66.5,15162.5,DAP,6.0,94.1,1.55,81.5,4.2,No,No,Fruiting,77.0,51.7,Weed control,3.91
IMG_001253,2021-03-12,G004,P001253,Maize,Central,Silty,19.52,30.4,69.6,34501.0,NPK,3.8,115.4,0.96,92.0,4.1,No,Yes,Maturity,72.3,75.4,Add fertilizer,4.96
IMG_001254,2021-09-14,G007,P001254,Maize,West,Sandy,33.74,22.6,72.7,35678.3,DAP,8.6,141.4,1.51,68.6,3.2,No,No,Vegetative,74.0,36.6,Weed control,5.41
IMG_001255,2021-12-11,G010,P001255,Maize,South,Clay,21.57,23.2,75.9,41019.1,Urea,6.7,69.5,1.77,106.6,2.4,No,No,Germination,69.8,53.6,Add fertilizer,5.64
IMG_001256,2021-10-16,G020,P001256,Maize,North,Sandy,30.96,18.1,60.8,38549.4,Urea,6.7,129.6,0.82,50.9,4.4,No,No,Flowering,86.6,67.3,Weed control,7.0
IMG_001257,2021-03-24,G001,P001257,Soybean,South,Loamy,33.35,25.0,65.0,27279.4,Compost,8.5,74.9,2.26,102.4,2.3,No,No,Germination,73.6,41.8,Increase irrigation,5.24
IMG_001258,2021-01-28,G017,P001258,Rice,North,Loamy,28.07,28.6,67.1,42624.4,None,6.3,152.3,2.05,49.1,3.1,No,No,Flowering,91.2,90.0,Add fertilizer,4.45
IMG_001259,2021-06-25,G004,P001259,Maize,West,Loamy,20.81,27.3,75.6,38689.7,Urea,4.3,145.9,2.02,50.0,2.1,No,No,Maturity,93.7,32.8,No action,6.86
IMG_001260,2021-05-26,G018,P001260,Wheat,Central,Clay,19.71,29.6,73.4,44275.1,NPK,5.8,55.5,0.99,92.2,2.8,No,No,Vegetative,69.1,75.8,No action,4.6
IMG_001261,2021-01-11,G020,P001261,Rice,North,Loamy,28.86,26.2,45.5,37652.6,None,7.8,141.4,1.58,77.8,2.2,No,No,Vegetative,75.4,60.2,Apply pesticide,3.25
IMG_001262,2021-11-12,G006,P001262,Soybean,South,Clay,28.61,25.2,59.2,20045.9,Urea,5.5,48.5,2.79,124.7,3.1,No,Yes,Flowering,86.9,44.4,Add fertilizer,4.49
IMG_001263,2021-07-22,G014,P001263,Maize,South,Loamy,15.62,33.9,44.4,31289.4,DAP,7.1,154.1,1.82,122.4,2.4,No,Yes,Vegetative,87.4,63.7,Increase irrigation,5.22
IMG_001264,2021-10-20,G012,P001264,Wheat,South,Sandy,20.06,31.1,78.3,39765.1,NPK,4.6,127.1,2.1,40.3,3.9,No,No,Germination,81.9,52.2,Increase irrigation,7.81
IMG_001265,2021-08-26,G014,P001265,Rice,South,Silty,33.0,23.2,44.9,38900.0,NPK,10.8,97.9,1.84,44.1,4.5,No,No,Flowering,75.6,46.3,Add fertilizer,6.11
IMG_001266,2021-02-19,G001,P001266,Maize,West,Sandy,22.72,29.3,43.2,22041.6,Compost,9.9,44.0,0.83,53.5,3.0,No,No,Germination,86.3,60.7,Weed control,5.38
IMG_001267,2021-11-24,G015,P001267,Maize,South,Clay,30.23,31.5,54.4,25837.4,Urea,4.0,77.0,2.01,119.7,3.4,No,No,Germination,83.7,76.7,Increase irrigation,8.54
IMG_001268,2021-09-16,G004,P001268,Wheat,East,Loamy,25.72,27.6,47.9,37378.0,Urea,4.9,94.7,2.22,101.1,4.1,No,No,Maturity,84.9,44.9,Weed control,3.77
IMG_001269,2021-03-23,G020,P001269,Rice,Central,Sandy,29.71,22.0,63.5,42763.6,NPK,10.4,160.5,2.32,47.6,4.6,No,No,Maturity,92.9,55.9,Increase irrigation,4.81
IMG_001270,2021-09-01,G015,P001270,Rice,Central,Loamy,15.13,26.6,58.0,23577.8,Urea,6.8,126.8,1.53,79.0,2.9,No,No,Vegetative,75.7,92.4,Apply pesticide,6.7
IMG_001271,2021-10-19,G020,P001271,Soybean,South,Clay,29.53,30.3,77.1,25271.5,NPK,6.1,157.9,0.9,63.1,3.3,No,No,Flowering,71.1,62.9,Increase irrigation,3.37
IMG_001272,2021-06-12,G017,P001272,Wheat,East,Silty,27.05,28.5,60.8,43071.5,NPK,6.3,161.7,2.31,53.8,2.1,No,No,Vegetative,77.6,52.3,No action,6.35
IMG_001273,2021-02-26,G014,P001273,Soybean,West,Sandy,34.45,28.8,46.4,38484.4,DAP,7.1,166.8,1.98,82.9,4.2,No,No,Fruiting,87.4,86.8,Add fertilizer,4.87
IMG_001274,2021-03-01,G018,P001274,Rice,North,Clay,22.18,25.1,57.4,22984.4,DAP,6.8,83.3,1.17,52.1,4.7,No,No,Vegetative,87.4,88.6,Apply pesticide,3.27
IMG_001275,2021-06-08,G002,P001275,Soybean,North,Loamy,29.77,19.7,49.5,37260.3,Compost,11.4,98.1,2.28,38.7,4.2,No,No,Maturity,88.9,65.5,Weed control,8.06
IMG_001276,2021-01-06,G017,P001276,Maize,East,Loamy,15.11,27.2,61.8,26571.8,Compost,5.8,129.5,2.65,118.5,2.7,No,No,Fruiting,84.4,40.8,Add fertilizer,7.79
IMG_001277,2021-07-09,G005,P001277,Soybean,Central,Loamy,16.05,28.6,65.2,37463.6,Compost,11.3,148.1,2.09,75.4,4.0,No,No,Flowering,88.7,52.6,Weed control,7.71
IMG_001278,2021-06-17,G008,P001278,Rice,Central,Loamy,25.21,30.8,55.9,20330.4,NPK,9.3,51.2,2.26,50.9,2.8,No,No,Flowering,78.1,78.2,Add fertilizer,5.0
IMG_001279,2021-11-13,G014,P001279,Soybean,Central,Clay,28.25,27.6,49.7,39591.1,NPK,11.4,126.5,1.7,100.6,4.0,Yes,No,Vegetative,74.6,63.6,No action,5.47
IMG_001280,2021-02-01,G010,P001280,Soybean,West,Loamy,19.47,30.0,61.8,34701.1,Compost,3.7,128.7,1.96,87.0,4.4,No,Yes,Fruiting,83.9,69.8,Apply pesticide,4.07
IMG_001281,2021-06-04,G010,P001281,Maize,South,Loamy,34.1,30.0,41.7,16896.9,DAP,8.8,164.0,0.94,90.6,3.7,No,No,Flowering,81.2,80.3,Apply pesticide,3.37
IMG_001282,2021-09-07,G017,P001282,Wheat,West,Loamy,26.57,26.0,78.6,44778.9,Compost,11.9,74.3,2.03,110.2,4.2,No,No,Vegetative,71.3,62.9,Add fertilizer,7.79
IMG_001283,2021-08-03,G002,P001283,Wheat,Central,Sandy,33.82,30.7,69.6,23858.6,NPK,3.7,119.8,1.49,89.1,4.0,No,No,Flowering,70.7,48.2,Apply pesticide,3.85
IMG_001284,2021-09-19,G012,P001284,Maize,East,Loamy,27.37,20.2,49.0,27019.5,Urea,7.9,59.6,1.97,94.6,4.3,No,No,Germination,86.8,47.1,Add fertilizer,8.5
IMG_001285,2021-04-12,G017,P001285,Rice,South,Silty,27.13,27.2,54.8,42087.6,Compost,5.7,144.6,1.69,52.0,4.6,No,Yes,Vegetative,60.2,67.5,Add fertilizer,5.28
IMG_001286,2021-12-17,G007,P001286,Wheat,South,Loamy,30.54,28.7,73.0,18963.9,NPK,8.1,89.5,2.03,51.8,2.7,No,Yes,Vegetative,77.1,55.3,Increase irrigation,5.61
IMG_001287,2021-04-30,G020,P001287,Rice,East,Loamy,22.7,30.4,41.8,31906.6,DAP,3.4,89.0,1.06,26.9,4.6,No,No,Vegetative,93.6,61.0,Apply pesticide,3.56
IMG_001288,2021-02-26,G006,P001288,Wheat,Central,Sandy,29.42,24.6,45.5,41513.0,NPK,11.5,149.5,1.81,52.4,4.1,No,No,Flowering,89.6,72.4,Add fertilizer,3.15
IMG_001289,2021-11-11,G010,P001289,Maize,East,Loamy,24.21,25.8,45.0,35622.6,DAP,10.3,90.6,2.53,98.9,4.0,No,No,Maturity,83.7,61.7,Apply pesticide,6.76
IMG_001290,2021-12-14,G006,P001290,Wheat,West,Loamy,28.55,29.7,72.2,17467.5,NPK,4.3,169.8,1.68,106.8,2.7,No,No,Vegetative,94.5,90.6,Apply pesticide,8.54
IMG_001291,2021-08-08,G012,P001291,Rice,South,Loamy,29.19,34.0,59.9,36666.2,None,10.0,149.4,1.98,26.3,4.6,No,Yes,Vegetative,73.8,67.5,Add fertilizer,7.0
IMG_001292,2021-05-21,G005,P001292,Wheat,East,Sandy,22.02,22.6,79.2,21105.4,Urea,3.6,167.5,2.61,74.0,3.6,No,No,Flowering,82.2,41.8,Add fertilizer,4.75
IMG_001293,2021-11-05,G017,P001293,Soybean,East,Clay,24.3,28.9,41.1,42450.5,None,9.5,61.1,2.44,77.4,2.3,No,No,Vegetative,86.9,81.4,Add fertilizer,3.31
IMG_001294,2021-04-05,G010,P001294,Soybean,East,Clay,16.85,20.4,57.5,20552.1,DAP,8.9,68.4,2.19,82.9,3.3,Yes,No,Fruiting,62.5,50.2,Add fertilizer,6.17
IMG_001295,2021-07-19,G004,P001295,Rice,South,Clay,21.47,23.1,79.4,25893.5,Urea,5.7,115.4,1.49,27.0,3.5,No,No,Fruiting,93.2,51.3,Weed control,7.66
IMG_001296,2021-03-10,G015,P001296,Wheat,West,Sandy,22.93,22.8,46.7,36242.7,Urea,9.8,102.6,2.04,62.5,2.9,No,Yes,Vegetative,81.1,77.3,Add fertilizer,6.82
IMG_001297,2021-02-09,G010,P001297,Wheat,West,Sandy,18.98,23.2,66.4,30664.0,Urea,11.7,57.7,1.64,122.0,3.6,No,No,Flowering,87.9,69.7,No action,3.42
IMG_001298,2021-09-15,G009,P001298,Rice,West,Clay,21.13,30.9,53.1,25047.6,Compost,5.0,108.2,2.74,76.9,4.5,No,No,Vegetative,73.5,37.1,Apply pesticide,5.94
IMG_001299,2021-09-27,G003,P001299,Rice,Central,Clay,17.14,18.8,68.8,23177.2,Urea,10.0,59.4,1.46,69.8,4.3,No,Yes,Germination,65.0,55.0,Apply pesticide,8.85
IMG_001300,2021-04-04,G012,P001300,Wheat,Central,Silty,19.09,24.8,58.4,31781.6,NPK,5.4,121.8,1.08,118.1,2.1,No,Yes,Vegetative,90.7,84.5,No action,8.04
IMG_001301,2021-11-03,G008,P001301,Wheat,West,Clay,24.11,23.9,79.2,15674.6,None,7.5,131.9,1.71,123.1,4.5,Yes,No,Flowering,56.1,42.2,Add fertilizer,6.22
IMG_001302,2021-04-04,G020,P001302,Soybean,East,Loamy,21.53,31.7,41.8,32949.1,NPK,4.3,164.4,0.99,78.2,2.3,No,Yes,Fruiting,79.2,73.6,Add fertilizer,6.03
IMG_001303,2021-01-30,G002,P001303,Wheat,West,Clay,30.1,24.0,56.3,20254.1,Compost,3.1,112.7,1.29,116.2,3.5,No,Yes,Maturity,60.3,31.5,Add fertilizer,7.96
IMG_001304,2021-04-24,G005,P001304,Wheat,West,Loamy,16.2,21.6,75.0,19555.7,NPK,8.2,69.8,2.06,46.9,4.1,No,No,Flowering,75.9,74.2,No action,5.03
IMG_001305,2021-06-22,G004,P001305,Soybean,Central,Silty,29.25,18.1,61.5,18922.8,Compost,5.4,40.6,1.13,77.2,3.2,No,No,Vegetative,81.4,68.0,Apply pesticide,8.39
IMG_001306,2021-10-18,G019,P001306,Wheat,East,Loamy,27.03,32.1,46.0,20258.9,NPK,4.6,59.0,2.68,121.3,4.8,No,No,Flowering,67.9,31.1,Add fertilizer,7.6
IMG_001307,2021-10-26,G018,P001307,Soybean,North,Clay,21.94,23.8,63.2,15612.9,DAP,7.4,44.5,0.95,64.9,4.7,No,Yes,Germination,61.4,78.0,Increase irrigation,4.4
IMG_001308,2021-12-26,G015,P001308,Rice,North,Loamy,20.74,26.3,73.5,31956.9,DAP,3.2,156.9,1.3,68.6,4.7,Yes,No,Fruiting,77.6,48.8,Increase irrigation,8.31
IMG_001309,2021-04-21,G013,P001309,Rice,East,Loamy,33.88,31.1,70.1,39963.7,Urea,5.6,93.0,2.21,97.2,3.2,No,No,Fruiting,65.5,92.3,Weed control,7.95
IMG_001310,2021-07-06,G002,P001310,Rice,West,Clay,29.79,27.8,69.5,15083.9,Urea,3.7,167.8,2.34,76.7,4.6,No,No,Vegetative,80.4,56.2,No action,4.37
IMG_001311,2021-01-13,G018,P001311,Maize,North,Clay,29.57,21.5,68.1,15665.2,Urea,7.5,105.6,1.44,89.0,4.2,No,No,Fruiting,80.2,47.5,No action,4.53
IMG_001312,2021-06-02,G018,P001312,Rice,South,Sandy,15.16,33.0,58.4,44321.5,Compost,4.1,48.7,1.64,112.0,4.5,No,No,Vegetative,72.3,56.5,Add fertilizer,4.42
IMG_001313,2021-02-15,G007,P001313,Wheat,North,Clay,32.09,24.7,77.7,35097.0,NPK,8.2,138.8,1.16,41.5,3.2,No,No,Maturity,87.1,71.0,Apply pesticide,6.16
IMG_001314,2021-11-13,G014,P001314,Wheat,North,Clay,20.36,24.9,72.8,22014.1,Urea,3.5,160.4,1.58,68.0,2.6,No,No,Germination,80.0,81.2,Apply pesticide,4.72
IMG_001315,2021-04-19,G010,P001315,Maize,Central,Loamy,33.57,23.4,71.6,33796.4,NPK,6.9,113.3,2.14,94.7,2.7,No,No,Maturity,66.3,71.4,No action,7.98
IMG_001316,2021-08-06,G001,P001316,Wheat,Central,Clay,32.14,28.8,73.4,33782.0,DAP,3.1,48.7,1.05,36.6,3.3,No,Yes,Vegetative,67.0,51.4,Apply pesticide,3.2
IMG_001317,2021-10-30,G011,P001317,Soybean,Central,Sandy,31.82,29.2,45.5,41398.8,DAP,11.1,153.9,2.08,99.4,2.7,No,Yes,Flowering,72.9,88.8,Increase irrigation,8.05
IMG_001318,2021-09-07,G018,P001318,Rice,East,Sandy,34.68,29.7,41.8,15220.5,Urea,11.6,40.1,1.94,127.6,4.3,No,No,Germination,86.2,55.8,Increase irrigation,3.25
IMG_001319,2021-05-23,G019,P001319,Soybean,West,Loamy,17.78,29.2,48.7,25661.3,Urea,9.5,112.9,1.76,52.8,4.2,No,No,Fruiting,74.0,50.6,Apply pesticide,7.07
IMG_001320,2021-12-13,G009,P001320,Maize,Central,Silty,17.71,28.8,69.5,26172.0,Urea,5.2,60.1,1.34,126.7,3.9,No,No,Fruiting,75.0,73.7,No action,6.93
IMG_001321,2021-01-15,G009,P001321,Soybean,Central,Loamy,28.37,22.7,40.1,29470.0,NPK,10.2,100.9,2.1,104.1,3.0,Yes,No,Germination,68.8,67.9,Add fertilizer,3.8
IMG_001322,2021-06-29,G007,P001322,Maize,West,Clay,31.17,32.2,61.7,19709.0,DAP,9.3,101.3,1.71,94.4,4.2,No,No,Germination,92.8,53.6,Increase irrigation,8.52
IMG_001323,2021-09-18,G007,P001323,Soybean,West,Sandy,24.94,20.3,45.0,19117.3,Compost,4.9,165.3,2.59,28.3,4.0,No,No,Fruiting,75.1,45.7,Increase irrigation,5.5
IMG_001324,2021-07-10,G006,P001324,Wheat,East,Clay,30.48,30.9,72.6,28904.2,NPK,9.3,154.9,1.25,107.6,4.7,No,No,Maturity,69.6,86.4,Weed control,7.3
IMG_001325,2021-06-10,G017,P001325,Maize,West,Loamy,21.65,30.2,44.7,42832.2,DAP,5.7,107.4,2.73,98.4,2.0,Yes,No,Flowering,72.8,58.5,Add fertilizer,7.6
IMG_001326,2021-06-04,G019,P001326,Maize,Central,Clay,34.09,26.2,71.5,23659.3,NPK,9.2,148.5,1.03,117.1,2.2,No,No,Flowering,68.3,49.5,No action,7.44
IMG_001327,2021-09-12,G015,P001327,Rice,North,Sandy,29.62,22.6,64.5,37955.9,Urea,7.7,98.9,1.4,60.9,4.2,Yes,No,Fruiting,57.3,44.9,Weed control,3.52
IMG_001328,2021-03-24,G012,P001328,Soybean,East,Clay,30.45,24.2,65.9,34242.2,Urea,5.1,57.3,2.29,106.1,3.6,No,No,Maturity,70.0,51.3,No action,3.81
IMG_001329,2021-01-10,G016,P001329,Rice,North,Loamy,19.77,22.2,60.9,32485.7,NPK,10.9,96.1,2.39,98.9,2.0,No,No,Germination,94.8,80.1,Weed control,5.45
IMG_001330,2021-01-11,G015,P001330,Wheat,East,Loamy,23.29,24.0,41.6,38098.7,None,11.1,168.6,1.32,66.1,2.1,No,No,Fruiting,66.0,34.6,Weed control,6.54
IMG_001331,2021-04-28,G014,P001331,Rice,South,Loamy,17.8,29.1,57.9,30365.5,Urea,9.0,64.3,1.21,58.2,2.6,No,No,Flowering,73.4,54.0,Increase irrigation,6.34
IMG_001332,2021-07-07,G011,P001332,Rice,North,Clay,19.36,27.6,69.2,39186.1,Urea,11.8,68.6,1.19,73.7,4.4,No,Yes,Flowering,87.1,67.8,Apply pesticide,4.46
IMG_001333,2021-04-18,G020,P001333,Maize,West,Sandy,23.25,30.2,43.3,44690.6,Compost,4.4,113.0,2.8,108.0,4.6,No,No,Germination,71.7,72.8,Weed control,7.64
IMG_001334,2021-09-13,G004,P001334,Maize,East,Clay,21.67,24.0,48.6,22655.9,Compost,11.9,97.2,2.44,79.0,2.5,No,No,Flowering,79.8,68.9,Weed control,4.57
IMG_001335,2021-01-06,G019,P001335,Rice,East,Loamy,30.94,22.2,60.8,17107.9,DAP,9.2,152.9,2.68,118.7,4.3,No,No,Flowering,77.2,73.4,Add fertilizer,3.41
IMG_001336,2021-08-02,G002,P001336,Rice,Central,Loamy,29.11,21.6,76.6,20552.1,DAP,9.2,129.0,2.28,82.7,3.1,No,No,Maturity,87.5,61.0,Add fertilizer,8.83
IMG_001337,2021-07-23,G006,P001337,Soybean,South,Loamy,30.84,29.0,64.7,40647.1,DAP,4.5,128.3,1.04,38.5,3.9,No,No,Fruiting,74.6,47.0,Apply pesticide,3.84
IMG_001338,2021-09-16,G008,P001338,Soybean,West,Silty,28.57,30.4,43.5,37198.2,Urea,10.6,141.7,2.5,85.4,4.2,No,Yes,Maturity,88.9,65.7,Add fertilizer,5.0
IMG_001339,2021-11-10,G007,P001339,Wheat,South,Loamy,28.87,34.7,60.8,43841.6,DAP,10.7,102.0,1.73,115.3,3.6,No,Yes,Vegetative,75.8,92.0,No action,6.6
IMG_001340,2021-12-29,G009,P001340,Soybean,East,Loamy,30.81,32.4,57.1,25845.8,Urea,11.0,143.7,1.6,32.9,4.0,No,No,Fruiting,78.8,92.2,Apply pesticide,7.38
IMG_001341,2021-07-21,G014,P001341,Maize,East,Loamy,31.61,25.3,76.5,17233.6,DAP,8.0,93.1,2.18,54.4,4.6,No,No,Vegetative,94.0,65.9,No action,4.42
IMG_001342,2021-10-22,G020,P001342,Maize,South,Loamy,34.95,24.9,41.3,19143.5,DAP,8.9,52.5,1.91,57.1,4.8,No,No,Vegetative,82.5,92.3,Weed control,8.38
IMG_001343,2021-06-10,G016,P001343,Wheat,West,Sandy,15.83,20.4,66.5,25782.0,NPK,4.8,106.1,1.66,64.4,3.9,No,No,Vegetative,93.7,92.8,No action,5.33
IMG_001344,2021-12-26,G016,P001344,Wheat,East,Clay,34.49,28.5,54.0,27440.0,NPK,9.0,93.4,1.5,88.8,2.5,No,No,Vegetative,94.6,59.4,Add fertilizer,4.25
IMG_001345,2021-09-14,G010,P001345,Rice,East,Clay,17.78,21.8,64.7,27660.5,Urea,4.9,115.7,2.59,87.5,3.3,No,No,Vegetative,94.3,45.3,No action,4.82
IMG_001346,2021-06-09,G007,P001346,Wheat,Central,Clay,24.91,28.9,66.1,36931.2,NPK,6.1,67.6,2.14,100.7,4.0,No,No,Vegetative,88.6,33.3,Weed control,8.17
IMG_001347,2021-12-19,G003,P001347,Wheat,South,Sandy,27.0,25.1,61.8,27922.8,NPK,5.0,141.0,2.21,58.3,3.6,No,No,Flowering,85.3,38.0,Weed control,7.52
IMG_001348,2021-09-10,G006,P001348,Maize,West,Clay,26.11,21.8,66.4,36835.9,Compost,3.5,97.8,2.55,55.7,4.0,No,No,Vegetative,68.1,91.7,Add fertilizer,6.95
IMG_001349,2021-08-02,G007,P001349,Maize,West,Loamy,28.55,19.1,44.3,38737.9,Urea,10.0,132.4,2.71,71.9,4.7,No,No,Vegetative,85.1,36.0,Increase irrigation,4.9
IMG_001350,2021-05-14,G017,P001350,Rice,Central,Sandy,24.13,23.9,71.0,22765.4,Compost,11.6,48.0,2.5,103.3,2.0,No,No,Maturity,92.5,81.6,Apply pesticide,8.97
IMG_001351,2021-04-30,G006,P001351,Rice,Central,Loamy,20.97,19.7,55.1,39703.2,NPK,10.3,168.9,1.8,100.8,4.8,No,No,Vegetative,92.1,72.2,Apply pesticide,5.56
IMG_001352,2021-08-25,G016,P001352,Soybean,East,Loamy,34.6,20.8,65.4,26804.5,NPK,9.4,70.1,1.94,129.8,2.9,No,Yes,Flowering,82.1,50.1,Weed control,6.66
IMG_001353,2021-05-18,G001,P001353,Maize,East,Loamy,26.19,21.7,42.5,41455.5,Urea,8.0,86.0,1.98,119.4,4.4,No,No,Vegetative,77.2,34.9,Weed control,8.01
IMG_001354,2021-01-28,G010,P001354,Rice,West,Silty,28.99,22.9,72.6,31863.6,DAP,9.2,71.2,1.93,108.9,3.7,No,No,Fruiting,87.5,43.7,Add fertilizer,6.09
IMG_001355,2021-12-05,G017,P001355,Soybean,East,Clay,19.79,23.8,74.9,41832.8,NPK,3.5,168.8,0.97,108.6,2.8,No,No,Germination,76.3,37.9,Add fertilizer,7.12
IMG_001356,2021-06-01,G012,P001356,Wheat,Central,Clay,23.54,21.7,79.6,15410.1,Urea,9.5,57.1,1.04,53.6,4.2,No,No,Vegetative,71.8,31.8,Increase irrigation,7.16
IMG_001357,2021-01-28,G017,P001357,Maize,North,Clay,25.62,23.9,70.0,20616.3,Urea,11.5,120.2,2.22,114.9,2.8,No,No,Maturity,86.3,66.5,Weed control,7.69
IMG_001358,2021-02-09,G015,P001358,Rice,West,Loamy,25.65,28.9,68.4,17718.9,DAP,8.6,139.1,1.79,96.0,2.8,No,No,Flowering,80.2,76.1,Weed control,8.68
IMG_001359,2021-10-22,G001,P001359,Maize,East,Loamy,16.21,29.4,60.6,40699.2,Urea,4.5,119.5,2.79,110.0,2.4,No,No,Vegetative,85.0,37.0,Apply pesticide,7.73
IMG_001360,2021-02-16,G004,P001360,Rice,North,Loamy,31.16,20.5,59.1,27608.6,Urea,11.4,131.0,2.39,65.8,4.0,No,No,Vegetative,91.1,60.6,Apply pesticide,8.94
IMG_001361,2021-05-12,G018,P001361,Rice,West,Silty,18.41,24.7,58.8,25214.0,Compost,6.0,74.4,2.14,77.7,2.6,No,No,Maturity,87.6,35.4,Weed control,7.98
IMG_001362,2021-11-02,G007,P001362,Wheat,East,Sandy,32.03,24.9,44.7,15998.9,DAP,10.9,156.8,2.33,54.7,3.9,No,No,Fruiting,87.8,65.8,No action,4.69
IMG_001363,2021-05-17,G016,P001363,Maize,East,Sandy,16.8,32.2,48.5,22871.4,NPK,3.3,134.1,2.08,46.2,4.5,No,No,Fruiting,87.5,85.4,Add fertilizer,6.69
IMG_001364,2021-07-09,G005,P001364,Soybean,West,Clay,26.81,29.5,58.0,43665.0,Urea,3.2,67.2,2.64,126.5,3.1,No,No,Fruiting,68.5,62.3,No action,6.49
IMG_001365,2021-05-25,G014,P001365,Wheat,North,Clay,19.67,26.3,71.0,19202.2,DAP,10.2,160.1,1.37,118.1,3.1,No,No,Flowering,82.0,81.4,Add fertilizer,7.22
IMG_001366,2021-04-06,G018,P001366,Soybean,East,Loamy,26.9,26.8,60.3,25960.9,DAP,5.1,102.4,1.79,28.6,2.3,No,No,Flowering,81.5,50.6,Add fertilizer,8.88
IMG_001367,2021-07-06,G011,P001367,Soybean,North,Clay,28.01,19.9,71.3,33331.0,NPK,3.0,59.2,0.93,43.0,2.9,No,No,Vegetative,77.6,80.0,No action,7.64
IMG_001368,2021-04-01,G015,P001368,Rice,North,Loamy,20.93,17.9,62.2,19956.0,DAP,7.9,146.3,1.07,87.7,2.7,No,No,Maturity,72.4,56.9,Increase irrigation,5.15
IMG_001369,2021-02-11,G011,P001369,Wheat,North,Clay,15.56,16.9,43.2,18731.0,Compost,5.6,63.8,2.79,75.1,2.4,No,No,Vegetative,71.2,33.1,Increase irrigation,6.45
IMG_001370,2021-11-23,G018,P001370,Maize,East,Sandy,17.32,26.1,78.1,27562.1,NPK,9.8,78.4,2.52,55.3,4.6,No,No,Vegetative,81.6,36.4,No action,7.07
IMG_001371,2021-12-18,G006,P001371,Rice,Central,Loamy,27.94,22.2,43.5,44029.1,DAP,6.8,89.8,2.0,106.7,2.0,No,No,Maturity,66.0,66.6,No action,4.02
IMG_001372,2021-08-09,G012,P001372,Wheat,East,Silty,21.01,26.3,63.9,16962.0,None,4.2,64.9,2.39,116.1,3.8,No,No,Maturity,68.1,31.5,Add fertilizer,7.88
IMG_001373,2021-05-02,G017,P001373,Soybean,South,Sandy,32.98,34.5,72.3,26037.5,DAP,7.9,74.7,2.16,34.3,2.3,No,No,Flowering,73.7,61.0,Add fertilizer,8.89
IMG_001374,2021-08-30,G005,P001374,Maize,North,Loamy,19.94,26.6,54.8,34706.5,NPK,7.4,92.6,1.56,116.8,3.1,No,No,Fruiting,75.1,86.6,Add fertilizer,6.46
